推理小说	http://vdisk.weibo.com/lc/f7C4p3ros2UqsbLkW 	RWYN
简牍  石鼓文	http://vdisk.weibo.com/lc/f7C4p3rot2NPed63M 	YM3A
全集系列	http://vdisk.weibo.com/lc/f7C4p3rotNEIOnKeO 	X0AH
元明清小说戏曲	http://vdisk.weibo.com/lc/f7C4p3rotNE90afcu 	A6U9
妖魔鬼怪 神话传说	http://vdisk.weibo.com/lc/f7C4p3rotMNLayOvY 	I651
达芬奇素描薄	http://vdisk.weibo.com/lc/f7C4p3rotJnaPnRXU 	Z5NI
宗教书	http://vdisk.weibo.com/lc/f7C4p3rotJlb1VEzQ 	P837
唐宋史料笔记丛刊	http://vdisk.weibo.com/lc/f7C4p3rotJlXyrxuS 	Q116
野史、传说、典故	http://vdisk.weibo.com/lc/f7C4p3rotEslyIsPQ 	XA9N
2015.1-6 零散考古、古研究相关	http://vdisk.weibo.com/lc/f7C4p3roqZ0dYYzbs 	SC5Q
俚语、俗语、黑话、詈词、谚语	http://vdisk.weibo.com/lc/f7C4p3rotDCxZ9uWe 	ES1N
古堡古城 古王国	http://vdisk.weibo.com/lc/f7C4p3rot9SoUW7ZQ 	H7T9
【甲骨文合集】	http://vdisk.weibo.com/lc/f7C4p3rot2NPue3eq 	L24G
宋史研究集	http://vdisk.weibo.com/lc/f7C4p3rot2OYSBd8S 	W1F5
故宫博物院院刊	http://vdisk.weibo.com/lc/f7C4p3rot2OYJ6SyO 	Y3Y6
敦煌俄藏圣彼得堡分所	http://vdisk.weibo.com/lc/f7C4p3rot2OYhLWIi 	S86S
清末民初小说书系	http://vdisk.weibo.com/lc/f7C4p3rot2OYkYbi4 	ND8R
明实录类纂	http://vdisk.weibo.com/lc/f7C4p3rot2OYlShge 	O3H7
燕行录 全100册	http://vdisk.weibo.com/lc/f7C4p3rot11wglqkq 	NSYQ
南明史	http://vdisk.weibo.com/lc/f7C4p3rot2OY7trQu 	ZLIC
两宋专题收自人文金陵	http://vdisk.weibo.com/lc/f7C4p3rot2OOUj8LY 	J345
考古类期刊	http://vdisk.weibo.com/lc/f7C4p3rot1yWQhaxk 	P0VX
隋唐五代相关	http://vdisk.weibo.com/lc/f7C4p3rot12AboOau 	S750
处州府志	http://vdisk.weibo.com/lc/f7C4p3rot12J34Xdg 	B6OL
历朝历代各色制度	http://vdisk.weibo.com/lc/f7C4p3rot129zEK9I 	UPW1
庆元条法事类	http://vdisk.weibo.com/lc/f7C4p3rot129AQ7rk 	WW3S
日本宋代史研究报告	http://vdisk.weibo.com/lc/f7C4p3rot125lzJPE 	NDG0
清代人物传稿  上下编  共20卷	http://vdisk.weibo.com/lc/f7C4p3rot125C2a0m 	OEAF
明代满蒙史料 李朝实录抄 共15册	http://vdisk.weibo.com/lc/f7C4p3rot125Cw7tI 	D27D
万历武功录 共14册	http://vdisk.weibo.com/lc/f7C4p3rot125EHAf2 	XWCI
国朝耆献类征初编	http://vdisk.weibo.com/lc/f7C4p3rot124wwXWy 	TAVF
明清相关 内阁、首辅、军机处	http://vdisk.weibo.com/lc/f7C4p3rot134kpL60 	AR4D
北京图书馆藏中国历代石刻拓本汇编 全101册	http://vdisk.weibo.com/lc/f7C4p3rot11zvkOwa 	DQOW
皇朝中外一统舆图 共12册	http://vdisk.weibo.com/lc/f7C4p3rot11wGmS9o 	YCB8
中国古今地名大词典（戴均良 主编）上海辞书出版社出版	http://vdisk.weibo.com/lc/f7C4p3rot11wH3mEq 	TY27
清代文化丛书（全30册）	http://vdisk.weibo.com/lc/f7C4p3rot11wg4P1k 	V8I9
江湖帮会等传奇教派、组织+黑社会	http://vdisk.weibo.com/lc/f7C4p3rot07f79ywC 	Z336
世界各地文学	http://vdisk.weibo.com/lc/f7C4p3ropRNMz1q76 	DZ61
中华经典藏书	http://vdisk.weibo.com/lc/f7C4p3ropRNOAiwl6 	VN8Q
民国学术经典文库	http://vdisk.weibo.com/lc/f7C4p3ropRNNIMlLk 	TG70
催眠	http://vdisk.weibo.com/lc/f7C4p3ropOrc4WTEu 	ZOGK
古埃及人的行为和习俗	http://vdisk.weibo.com/lc/f7C4p3ropFnwGmy3c 	DAP3
古本戏曲	http://vdisk.weibo.com/lc/f7C4p3ropFnsXquUy 	N3N6
古典戏曲典籍	http://vdisk.weibo.com/lc/f7C4p3ropFnsZ4nzs 	QVM9
南社	http://vdisk.weibo.com/lc/f7C4p3ropFnsbEioa 	XX2M
晚明史料	http://vdisk.weibo.com/lc/f7C4p3ropFnrhqk3k 	P26M
未整理+可单本分享	http://vdisk.weibo.com/lc/f7C4p3rp62loNR7ho 	I4U6
中国考古探秘纪实系列	http://vdisk.weibo.com/lc/f7C4p3rp689idhy8O 	K999
地名 舆图 	http://vdisk.weibo.com/lc/f7C4p3rp63ynOMt7I 	YQFD
日本学者研究中国史论著	http://vdisk.weibo.com/lc/f7C4p3rp63hCijnf6 	CX68
传记	http://vdisk.weibo.com/lc/f7C4p3rp63hCjrv8K 	F837
宋代路分长官能考	http://vdisk.weibo.com/lc/f7C4p3rp63hCn8252 	R95B
宋京朝官通考	http://vdisk.weibo.com/lc/f7C4p3rp63hCWE4h6 	QDEE
[明]解缙主编-永乐大典	http://vdisk.weibo.com/lc/f7C4p3rp63hCdN4U4 	W116
日本史	http://vdisk.weibo.com/lc/f7C4p3rp63hBtkbQG 	PWQQ
明代舆图综录 全6册	http://vdisk.weibo.com/lc/f7C4p3rp63hC6P7xI 	DRG9
朹國輿地志	http://vdisk.weibo.com/lc/f7C4p3rp63hBwxgpc 	GI8V
